"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3685","testGetListUser","Gradle suite","Tue May 27 01:13:48 UTC 2025","passed","Tue May 27 01:13:52 UTC 2025","api.tests.UserApiTest","Gradle test","api.tests.UserApiTest","testGetListUser"
"","366","testGetListUserWithInvalidPage","Gradle suite","Tue May 27 01:13:52 UTC 2025","passed","Tue May 27 01:13:52 UTC 2025","api.tests.UserApiTest","Gradle test","api.tests.UserApiTest","testGetListUserWithInvalidPage"
"","422","testGetUserWithoutId","Gradle suite","Tue May 27 01:13:52 UTC 2025","passed","Tue May 27 01:13:53 UTC 2025","api.tests.UserApiTest","Gradle test","api.tests.UserApiTest","testGetUserWithoutId"
